ISO3,Country,Latitude,Longitude
AFG,Afghanistan,35.650072,61.210817
AGO,Angola,"[16.57318, -6.622645]","[16.326528, -5.87747]"
ALB,Albania,41.855404,20.590247
ARE,United Arab Emirates,24.245497,51.579519
ARG,Argentina,"[-66.45, -55.25]","[-65.5, -55.2]"
ARM,Armenia,41.092143,43.582746
ATA,Antarctica,"[-59.865849, -80.549657]","[-59.572095, -80.040179]"
ATF,French Southern and Antarctic Lands,-48.625,68.935
AUS,Australia,"[146.364121, -41.137695]","[145.397978, -40.792549]"
AUT,Austria,48.123497,16.979667
AZE,Azerbaijan,"[45.298145, 39.471751]","[45.001987, 39.740004]"
BDI,Burundi,-4.499983,29.339998
BEL,Belgium,51.345781,3.314971
BEN,Benin,6.258817,2.691702
BFA,Burkina Faso,9.642461,-2.827496
BGD,Bangladesh,22.041239,92.672721
BGR,Bulgaria,44.234923,22.65715
BHS,The Bahamas,"[-77.78, 23.71]","[-77.53466, 23.75975]"
BIH,Bosnia and Herzegovina,44.860234,19.005486
BLR,Belarus,53.912498,23.484128
BLZ,Belize,17.808319,-89.14308
BMU,Bermuda,32.3072000581802,-64.7799734332998
BOL,Bolivia,-22.034985,-62.846468
BRA,Brazil,-30.216295,-57.625133
BRN,Brunei,4.525874,114.204017
BTN,Bhutan,27.771742,91.696657
BWA,Botswana,-18.536026,25.649163
CAF,Central African Republic,7.421925,15.27946
CAN,Canada,"[-62.9393, 46.41587]","[-63.6645, 46.55001]"
CHE,Switzerland,47.525058,9.594225999999999
CHL,Chile,"[-68.63335000000001, -54.8695]","[-68.63401, -52.63637]"
CHN,China,"[109.47521, 18.197701]","[110.339188, 18.678395]"
CIV,Ivory Coast,4.994476,-2.856125
CMR,Cameroon,2.267097,13.075822
COD,Democratic Republic of the Congo,3.509166,30.83386
COG,Republic of the Congo,-4.781103,12.995517
COL,Colombia,-0.152032,-75.373223
CRI,Costa Rica,8.225028,-82.965783
CUB,Cuba,23.188611,-82.268151
-99,Northern Cyprus,35.140026,32.73178
CYP,Cyprus,35.058506,33.973617
CZE,Czech Republic,48.596982,16.960288
DEU,Germany,54.983104,9.921906
DJI,Djibouti,12.699639,43.081226
DNK,Denmark,"[12.089991, 54.800015]","[12.690006, 55.609991]"
DOM,Dominican Republic,19.714456,-71.712361
DZA,Algeria,23.471668,11.999506
ECU,Ecuador,-3.404856,-80.302561
EGY,Egypt,29.50133,34.9226
ERI,Eritrea,12.54223,42.35156
ESP,Spain,41.880571,-9.034818
EST,Estonia,57.793424,24.312863
ETH,Ethiopia,14.95943,37.90607
FIN,Finland,69.064777,28.59193
FJI,Fiji,"[178.71806, -17.62846]","[178.3736, -17.33992]"
FLK,Falkland Islands,-51.85,-61.2
FRA,France,"[9.229752, 41.380007]","[9.560016, 42.152492]"
GAB,Gabon,-3.978827,11.093773
GBR,United Kingdom,"[-6.197885, 53.867565]","[-5.661949, 54.554603]"
GEO,Georgia,41.535656,41.554084
GHA,Ghana,5.928837,1.060122
GIN,Guinea,7.686043,-8.439298
GMB,Gambia,13.151394,-16.841525
GNB,Guinea Bissau,11.040412,-15.130311
GNQ,Equatorial Guinea,1.01012,9.492889
GRC,Greece,"[24.246665, 35.368022]","[23.69998, 35.705004]"
GRL,Greenland,82.62796,-46.76379
GTM,Guatemala,13.735338,-90.095555
GUF,French Guiana,2.504705,-52.556425
GUY,Guyana,8.367035,-59.758285
HND,Honduras,12.984686,-87.316654
HRV,Croatia,45.908878,18.829838
HTI,Haiti,19.915684,-73.189791
HUN,Hungary,46.852386,16.202298
IDN,Indonesia,"[120.295014, -10.25865]","[120.715609, -10.239581]"
IND,India,35.49401,77.837451
IRL,Ireland,53.867565,-6.197885
IRN,Iran,37.198918,53.921598
IRQ,Iraq,35.977546,45.420618
ISL,Iceland,66.455892,-14.508695
ISR,Israel,32.709192,35.719918
ITA,Italy,"[15.160243, 37.444046]","[15.520376, 38.231155]"
JAM,Jamaica,18.490525,-77.569601
JOR,Jordan,32.393992,35.545665
JPN,Japan,"[134.766379, 33.806335]","[134.638428, 34.149234]"
KAZ,Kazakhstan,42.266154,70.962315
KEN,Kenya,-0.8582900000000001,40.993
KGZ,Kyrgyzstan,42.266154,70.962315
KHM,Cambodia,10.632555,103.49728
KOR,South Korea,38.612243,128.349716
CS-KM,Kosovo,42.05186,20.76216
KWT,Kuwait,29.975819,47.974519
LAO,Laos,14.273212000000001,105.218777
LBN,Lebanon,33.277426,35.821101
LBR,Liberia,4.364566,-7.712159
LBY,Libya,22.86295,14.8513
LKA,Sri Lanka,7.523055,81.787959
LSO,Lesotho,-28.955597,28.978263
LTU,Lithuania,54.327537,22.731099
LUX,Luxembourg,50.128052,6.043073
LVA,Latvia,56.031076,21.0558
MAR,Morocco,35.755182,-5.193863
MDA,Moldova,48.220726,26.619337
MDG,Madagascar,-12.469833,49.543519
MEX,Mexico,25.869997,-97.140008
MKD,Macedonia,41.85541,20.59023
MLI,Mali,14.616834,-12.17075
MLT,Malta,"[14.532684, 35.820191]","[14.566171, 35.852721]"
MMR,Myanmar,20.186598,99.543309
MNE,Montenegro,42.500093,19.801613
MNG,Mongolia,49.297198,87.751264
MOZ,Mozambique,-11.52002,34.559989
MRT,Mauritania,14.616834,-12.17075
MWI,Malawi,-11.52002,34.559989
MYS,Malaysia,"[101.154219, 5.691384]","[101.075516, 6.204867]"
NAM,Namibia,-28.576705,16.344977
NCL,New Caledonia,-21.080005,165.77999
NER,Niger,11.94015,2.154474
NGA,Nigeria,4.771983,8.500288
NIC,Nicaragua,11.088445,-85.71254
NLD,Netherlands,53.510403,6.074183
NOR,Norway,"[31.293418, 70.453788]","[28.165547, 71.185474]"
NPL,Nepal,27.876542,88.120441
NZL,New Zealand,"[173.247234, -41.331999]","[173.020375, -40.919052]"
OMN,Oman,"[58.487986, 20.428986]","[58.861141, 21.114035]"
PAK,Pakistan,37.133031,75.158028
PAN,Panama,7.223771,-77.881571
PER,Peru,-17.580012,-69.590424
PHL,Philippines,"[126.478513, 7.750354]","[126.376814, 8.414706]"
PNG,Papua New Guinea,"[155.599991, -6.919991]","[155.880026, -6.819997]"
POL,Poland,51.106674,15.016996
PRI,Puerto Rico,18.514762,-66.282434
PRK,North Korea,42.395009,130.640016
PRT,Portugal,41.880571,-9.034818
PRY,Paraguay,-22.249029,-62.685057
QAT,Qatar,24.754743,50.810108
ROU,Romania,47.882194,22.710531
RUS,Russia,"[144.654148, 48.976391]","[143.648007, 50.7476]"
RWA,Rwanda,-1.134659,30.419105
ESH,Western Sahara,27.120696,-8.794884
SAU,Saudi Arabia,16.347891,42.779332
SDN,Sudan,9.464285,33.963392999999996
SSD,South Sudan,9.464285,33.963392999999996
SEN,Senegal,13.594959,-16.713729
SLB,Solomon Islands,"[162.398646, -10.826367]","[162.119025, -10.482719]"
SLE,Sierra Leone,6.7859169999999995,-11.438779
SLV,El Salvador,13.38448,-87.793111
-99,Somaliland,9.451749,48.93813
SOM,Somalia,11.5789,49.72862
SRB,Republic of Serbia,45.416375,20.874313
SUR,Suriname,5.97315,-57.147436
SVK,Slovakia,49.49623,18.853144
SVN,Slovenia,46.509306,13.806475
SWE,Sweden,"[21.213517, 65.026005]","[22.183173, 65.723741]"
SWZ,Swaziland,-26.73382,32.071665
SYR,Syria,33.378686,38.792341
TCD,Chad,12.859396,14.495787
TGO,Togo,6.142158,1.865241
THA,Thailand,12.186595,102.584932
TJK,Tajikistan,40.244366,71.014198
TKM,Turkmenistan,35.650072,61.210817
TLS,East Timor,-8.89279,124.968682
TTO,Trinidad and Tobago,10.76,-61.68
TUN,Tunisia,30.307556,9.48214
TUR,Turkey,"[38.347665, 40.948586]","[36.913127, 41.335358]"
TWN,Taiwan,24.394274,121.777818
TZA,United Republic of Tanzania,-0.9500000000000001,33.903711
UGA,Uganda,-1.02736,31.86617
UKR,Ukraine,52.101678,31.785998
URY,Uruguay,-30.216295,-57.625133
USA,United States of America,"[-155.68817, 18.91619]","[-155.54211, 19.08348]"
UZB,Uzbekistan,37.362784,66.518607
VEN,Venezuela,11.776284,-71.331584
VNM,Vietnam,21.55238,108.05018
VUT,Vanuatu,"[167.515181, -16.59785]","[167.844877, -16.466333]"
PSE,West Bank,32.393992,35.545665
YEM,Yemen,16.651051,53.108573
ZAF,South Africa,-29.257387,31.521001
ZMB,Zambia,-9.230599,32.759375
ZWE,Zimbabwe,-22.25151,31.191409
